Season,Total Damage,Total Kills,Total Deaths,K/D Ratio,Total wins,Total Top 5 finish,Total Games Played,Highest Kills,Knockdowns,Assists,Teamates Revived,Allayna Playing,Teammates Respawned,Win Streak,Ranked Split 1,Ranked Split 2,Win rate%
5,8332,20,50,0.4,1,12,49,5,21,12,6,no,0,1,,,2.04%
6,2945,7,16,0.44,0,2,15,2,7,2,0,no,0,0,,,0%
7,111421,234,543,0.43,19,139,525,5,318,179,68,no,15,2,,,3.62%
             7R,32709,68,169,0.4,6,51,167,4,89,47,24,no,5,2,gold 4,silver 4,3.59%
8,168498,383,811,0.47,24,200,773,8,522,271,144,no,31,2,,,3.10%
             8R,55867,127,308,0.41,8,72,292,5,182,96,50,no,9,2,bronze 1,gold 4,2.74%
9,103180,261,404,0.65,21,118,408,7,354,159,101,no,19,2,,,5.15%
9R,18689,49,66,0.74,9,28,64,4,62,29,17,no,3,2,bronze2,gold 4,14.06%
10,64975,164,245,0.67,13,68,242,5,210,91,54,no,3,1,,,5.37%
10R,5910,11,16,0.69,1,4,15,3,12,8,3,no,0,1,silver 4,bronze4,6.67%
11,245509,549,825,0.67,37,221,815,7,738,357,263,no,37,2,,,4.54%
11R,44620,90,151,0.6,4,39,140,5,128,62,57,no,10,1,gold 4,bronze 1,2.86%
12,411927,879,1357,0.65,52,332,1371,10,1168,485,299,no,62,2,,,3.79%
12R,58278,127,153,0.83,12,54,156,6,154,100,42,no,5,1,silver 4,plat 4,7.69%
13,527042,1093,1660,0.66,58,394,1660,9,1476,768,413,no,88,2,,,3.49%
13R,56508,100,177,0.56,2,43,171,5,145,97,45,no,13,1,bronze2,gold 4,1.17%
14,558027,1320,1763,0.75,73,433,1778,8,1662,848,466,no,110,2,,,4.11%
14R,130063,241,424,0.57,24,145,432,6,332,219,139,no,26,1,plat4,plat4,5.56%
15,561126,1232,1528,0.81,80,432,1571,11,1601,761,375,yes,93,2,,,5.09%
15R,119075,191,346,0.55,17,94,336,4,270,168,92,no,29,1,plat 3,gold 3,5.06%
16,278138,583,986,0.59,41,271,964,7,778,437,195,yes,58,,,,4.25%
16R,89229,162,304,0.53,13,88,289,5,235,151,85,no,29,2,gold 3,gold 3,4.50%
17,,,,,,,,,,,,,,,,,
17R,96665,143,341,0.42,8,95,307,4,206,171,59,no,62,1,Master,Master,2.61%
