season,map rotation,new legend,season start,season end,season length,new weapon,avg amount of steam players ,avg rank ,num of preds,heirloom,prestige skin,most played legend,least played legend
1,KC,Octane,19/03/2019,18/06/2019,91,no,,,,Wraith,no,,
2,KC,Wattson,2/7/2019,1/10/2019,91,L Star,,,,Bloodhound,no,,
3,WE,Crypto,1/10/2019,4/2/2020,126,Charge Rifle,,,,Pathfinder Lifeline,no,,
4,WE KC,Revenant,4/2/2020,12/5/2020,98,Sentinel,,,,Octane,no,,
5,KC WE,Loba,12/5/2020,18/08/2020,98,no,,,,Mirage,no,,
6,WE KC,Rampart,18/08/2020,4/11/2020,78,volt,,,,Caustic,no,,
7,OP WE,Horizon,4/11/2020,2/2/2021,90,no,,,,Gibraltar,no,,
8,KC OP,Fuse,2/2/2021,4/5/2021,91,30 30 repeater,,,,Bangalore,no,,
9,OP WE,Valkyrie,4/5/2021,3/8/2021,91,Bocek,,,,Revenant,no,,
10,WE KC OP,Seer,3/8/2021,2/11/2021,91,Rampage,,,,Rampart,no,,
11,SP WE,Ash,2/11/2021,8/2/2022,98,car smg,,,,Wattson,no,,
12,OP KC SP,Mad Maggie,8/2/2022,10/5/2022,91,no,,,,Crypto,Bloodhound,,
13,SP OP WE,Newcastle,10/5/2022,9/8/2022,91,no,,,,Valyrie,Bangalore,,
14,KC WE SP,Vantage,9/8/2022,1/11/2022,85,no,,,,Lobs,no,,
15,BM OP WE,Catalyst,1/11/2022,14/02/2023,105,no,,,,Seer,Wraith,,
16,BM OP WE SP,no,14/02/2023,9/5/2023,84,nemesis,,,,Ash Wraith_re,Caustic,,
17,WE OP KC,Ballistic,9/5/2023,8/8/2023,91,no,,,,Horizon,Valkyrie,,
18,OP KC BM,Rev Reborn,8/8/2023,31/10/2023,84,no,,,,Revenant_re,,,
19,,,,,,,,,,,,,
